fid,OBJECTID_1,OBJECTID,ID,NAME,CITY,STATE,ZIP,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,LINES,MAX_VOLT,MIN_VOLT,MAX_INFER,MIN_INFER,layer,path,HIFLD_ID,Owner,mu_DS1,mu_DS2,mu_DS3,mu_DS4,beta_DS1,beta_DS2,beta_DS3,beta_DS4,mu_DS1_old,mu_DS2_old,mu_DS3_old,mu_DS4_old,beta_DS1_old,beta_DS2_old,beta_DS3_old,beta_DS4_old
129,64467,64467,300144,STATION 11,LOS ANGELES,CA,90049,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,34.0509730360001,-118.4760319,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1434585600000,IMAGERY/OTHER,1434585600000,1,138,138,N,Y,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,300144,LADWP,0.15,0.29,0.45,0.9,0.7,0.55,0.45,0.45,0.13,0.26,0.34,0.74,0.65,0.5,0.4,0.4
242,64751,64751,300429,STATION E (TOLUCA),LOS ANGELES,CA,91601,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,34.17619826,-118.3596448,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Southern California Edison http://preview.tinyurl.com/q9vuye2,1433462400000,IMAGERY/OTHER,1433462400000,15,500,66,N,N,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,300429,LADWP,0.11,0.15,0.2,0.47,0.5,0.45,0.35,0.4,0.09,0.13,0.17,0.38,0.5,0.4,0.35,0.35
271,64815,64815,300493,STATION J,LOS ANGELES,CA,91324,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,34.2292951100001,-118.5434782,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1433462400000,IMAGERY/OTHER,1433462400000,4,230,230,N,Y,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,300493,LADWP,0.15,0.25,0.35,0.7,0.6,0.5,0.4,0.4,0.1,0.2,0.3,0.5,0.6,0.5,0.4,0.4
498,65427,65427,301105,STATION K (OLYMPIC),LOS ANGELES,CA,90025,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,34.0331442630001,-118.4600055,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1433462400000,IMAGERY/OTHER,1433462400000,8,230,66,N,Y,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,301105,LADWP,0.15,0.25,0.35,0.7,0.6,0.5,0.4,0.4,0.1,0.2,0.3,0.5,0.6,0.5,0.4,0.4
528,65516,65516,301194,STATION G (ATWATER),LOS ANGELES,CA,90039,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,34.1093400830001,-118.2544222,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1433462400000,IMAGERY/OTHER,1433462400000,8,230,66,N,Y,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,301194,LADWP,0.15,0.25,0.35,0.7,0.6,0.5,0.4,0.4,0.1,0.2,0.3,0.5,0.6,0.5,0.4,0.4
701,65958,65958,301636,SAN FERNANDO,LOS ANGELES,CA,91345,SUBSTATION,NOT AVAILABLE,LOS ANGELES,6037,USA,34.2735632820001,-118.458755,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1435017600000,IMAGERY/OTHER,1435017600000,1,66,66,Y,Y,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,301636,SCE,0.15,0.29,0.45,0.9,0.7,0.55,0.45,0.45,0.13,0.26,0.34,0.74,0.65,0.5,0.4,0.4
702,65959,65959,301637,STATION N (AIRPORT),LOS ANGELES,CA,90045,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,33.962,-118.376219,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1435190400000,IMAGERY/OTHER,1435190400000,4,138,138,N,Y,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,301637,LADWP,0.15,0.29,0.45,0.9,0.7,0.55,0.45,0.45,0.13,0.26,0.34,0.74,0.65,0.5,0.4,0.4
904,66493,66493,302171,SAWTELLE,LOS ANGELES,CA,90025,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,34.04740878,-118.4522527,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1435017600000,IMAGERY/OTHER,1520985600000,2,66,66,N,Y,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,302171,SCE,0.15,0.29,0.45,0.9,0.7,0.55,0.45,0.45,0.13,0.26,0.34,0.74,0.65,0.5,0.4,0.4
1268,67421,67421,303099,STATION D (FAIRFAX),LOS ANGELES,CA,90034,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,34.0380813470001,-118.3708133,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1435190400000,IMAGERY/OTHER,1435190400000,8,138,138,N,N,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,303099,LADWP,0.15,0.29,0.45,0.9,0.7,0.55,0.45,0.45,0.13,0.26,0.34,0.74,0.65,0.5,0.4,0.4
1478,67942,67942,303620,TARZANA(STATION U),LOS ANGELES,CA,91356,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,34.1793531860001,-118.5436866,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1433462400000,IMAGERY/OTHER,1433462400000,7,230,230,N,N,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,303620,LADWP,0.15,0.25,0.35,0.7,0.6,0.5,0.4,0.4,0.1,0.2,0.3,0.5,0.6,0.5,0.4,0.4
